QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150729_002327	After leaving the silversmith's house, {nl}Aiste suddenly remembered that the old beggar must still be looking for her lost coins and worried about him. {nl}On her way to the beggar, she met the orchard owner again. {nl}Upon seeing Aiste, the orchard owner was overjoyed. {nl}'I was looking for you. I'm sorry for sending you off earlier. As an apology, I'll give you your salary again. {nl}Please be careful not to lose it this time.'{nl}{nl}	은장이 아저씨를 작별하고 집으로 가던 아이스테는 문득 거지 아저씨가 아직도 자기 돈을 찾고 있을까 걱정이 되었습니다. {nl}그래서 그곳으로 가는 도중에 과수원 주인을 만났어요. {nl}과수원 주인은 아이스테를 발견하고는 크게 기뻐하여 말했습니다.{nl}[너를 찾고 있었다. 사실은 너를 그렇게 보내고 미안했거든…. 사과하는 의미로 네 품삯을 다시 주마. 이번에는 잃어버리지 않도록 조심해라.]{nl}{nl}	QUEST_20150317_001121	After leaving the silversmith's house, {nl}Aiste suddenly remembered that the old beggar must still be looking for her lost coins and worried for him. {nl}On her way to the beggar, she met the orchard owner again. {nl}Upon seeing Aiste, the orchard owner was overjoyed. {nl}'I was looking for you. I'm sorry for sending you off earlier. As an apology, I'll give you your salary again. {nl}Please be careful not to lose it this time.'	은장이 아저씨를 작별하고 집으로 가던 아이스테는 문득 거지 아저씨가 아직도 자기 돈을 찾고 있을까 걱정이 되었습니다. {nl}그래서 그곳으로 가는 도중에 과수원 주인을 만났어요. {nl}과수원 주인은 아이스테를 발견하고는 크게 기뻐하여 말했습니다.{nl}“너를 찾고 있었다. 사실은 너를 그렇게 보내고 미안했거든…. 사과하는 의미로 네 품삯을 다시 주마. 이번에는 잃어버리지 않도록 조심해라.”{nl}{nl}	페디미안의 은화
QUEST_20150729_002328	The orchard owner took out a large amount of coins, more than what Aiste's salary was, and handed it to her. {nl}However, Aiste shook her head and said, {nl}'Goddess Zemyna already returned my money to me. The silversmith also helped me, so now I actually have too much. {nl}Here, take a look.'{nl}{nl}	그리고는 원래 품삯보다 많은 은화를 꺼내주려 했습니다. {nl}그러나 아이스테는 고개를 저으며 말했어요.{nl}[제미나 여신께서 제 돈을 돌려주셨어요. 게다가 은장이 아저씨도 도와주셔서 지금은 너무 많아요. 그러니까 고맙지만 괜찮아요. 자, 보세요.]{nl}{nl}	QUEST_20150317_001122	The orchard owner took out a large amount of coins, more than what Aiste's salary was, and handed it to her. {nl}However, Aiste shook her head and said, {nl}'Goddess Zemyna already returned my money to me. The silversmith also helped me, so now I actually have too much. {nl}Here, take a look.'	그리고는 원래 품삯보다 많은 은화를 꺼내주려 했습니다. {nl}그러나 아이스테는 고개를 저으며 말했어요.{nl}“제미나 여신께서 제 돈을 돌려주셨어요. 게다가 은장이 아저씨도 도와주셔서 지금은 너무 많아요. 그러니까 고맙지만 괜찮아요. 자, 보세요.”{nl}{nl}	페디미안의 은화
QUEST_20150729_002329	Disregarding the amount Aiste had shown him, the orchard owner said, {nl}'Well, even so, I would be ashamed for not giving you my due, so please just take it.' {nl}After saying this, the orchard owner stuffed his coins into Aiste's bag and left. {nl}By the time Aiste could muster up the energy to call the orchard owner, he was too far away.{nl}{nl}	아이스테가 늘어난 은화 때문에 아무 말도 못 하는 사이 과수원 주인이 이렇게 말했습니다.{nl}[아무튼, 이걸 안 주면 내가 부끄러우니 꼭 받아주렴.] {nl}{nl}그렇게 말하고는 말릴 틈도 없이 열린 은화주머니에 돈을 던지듯 강제로 집어 넣고는 가버렸습니다.{nl}아이스테가 정신을 차렸을 때는 과수원 주인은 이미 너무 멀리 가서 아이스테는 그를 부를 수가 없었습니다. {nl}	QUEST_20150317_001124	Disregarding the amount Aiste had shown him, the orchard owner said, {nl}'Well, even so, I would be ashamed for not giving you my due, so please just take it.' {nl}After saying this, the orchard owner stuffed his coins into Aiste's bag and left. {nl}By the time Aiste could muster up the energy to call the orchard owner, he was too far away.	아이스테가 늘어난 은화 때문에 아무 말도 못 하는 사이 과수원 주인이 이렇게 말했습니다.{nl}“아무튼, 이걸 안 주면 내가 부끄러우니 꼭 받아주렴.” {nl}{nl}그렇게 말하고는 말릴 틈도 없이 열린 은화주머니에 돈을 던지듯 강제로 집어 넣고는 가버렸습니다.{nl}아이스테가 정신을 차렸을 때는 과수원 주인은 이미 너무 멀리 가서 아이스테는 그를 부를 수가 없었습니다. {nl}	페디미안의 은화
QUEST_20150729_002330	She hesitated for a moment but then set her mind on the beggar. {nl}After a bit of walking, Aiste arrived at where they met. The old beggar spotted her first and hurried over to her. {nl}He showed her the silver coins he was clenching onto and said, 'Look! I found your lost silver.' {nl}Aiste received the beggar's silver and then showed the beggar her bag and said, {nl}'Look, I found your silver coins too.'{nl}{nl}	잠시 머뭇거리던 아이스테는 가던 대로 거지 아저씨에게 가기로 하고 걸음을 옮겼습니다.{nl}아이스테가 거지 아저씨를 만났던 곳에 가까이 갔을 때; 거지는 아이스테를 먼저 발견하고는 그녀에게 허겁지겁 달려오더니 손가락으로 꼭 잡은 은화를 보여주면서 말했습니다.{nl}[봐라. 내가 네 은화를 찾아냈단다.]{nl}{nl}	QUEST_20150317_001125	She hesitated for a moment but then set her mind on the beggar. {nl}After a bit of walking, Aiste arrived at where they met. The old beggar spotted her first and hurried over to her. {nl}He showed her the silver coins he was clenching onto and said, 'Look! I found your lost silver.' {nl}Aiste received the beggar's silver and then showed the beggar her bag and said, {nl}'Look, I found your silver coins too.'	잠시 머뭇거리던 아이스테는 가던 대로 거지 아저씨에게 가기로 하고 걸음을 옮겼습니다.{nl}아이스테가 거지 아저씨를 만났던 곳에 가까이 갔을 때; 거지는 아이스테를 먼저 발견하고는 그녀에게 허겁지겁 달려오더니 손가락으로 꼭 잡은 은화를 보여주면서 말했습니다.{nl}“봐라. 내가 네 은화를 찾아냈단다.”{nl}{nl}	페디미안의 은화
QUEST_20150729_002331	After that, Aiste also held out her bag and said, {nl}'This is a gift as thanks for looking for my silver. I was given this through Goddess Zemyna's grace.' {nl}Aiste then left before the Old Beggar could figure out how to reply.{nl}{nl}	아이스테는 거지의 은화를 잘 갈무리 한 다음에는 자신의 은화 주머니를 거지에게 내밀며 말했습니다.{nl}[이건 제 은화를 찾아주신 보답으로 드리는 선물이에요. 제미나 여신께서 은혜로 주신 것이기도 하고요.]{nl}{nl}그렇게 말하고는 거지 아저씨가 미처 뭐라 대답도 하기 전에 서둘러 사라졌습니다.{nl}{nl}	QUEST_20150317_001127	After that, Aiste also held out her bag and said, {nl}'This is a gift as thanks for looking for my silver. I was given this through Goddess Zemyna's grace.' {nl}Aiste then left before the Old Beggar could figure out how to reply.	아이스테는 거지의 은화를 잘 갈무리 한 다음에는 자신의 은화 주머니를 거지에게 내밀며 말했습니다.{nl}“이건 제 은화를 찾아주신 보답으로 드리는 선물이에요. 제미나 여신께서 은혜로 주신 것이기도 하고요.”{nl}{nl}그렇게 말하고는 거지 아저씨가 미처 뭐라 대답도 하기 전에 서둘러 사라졌습니다.{nl}{nl}	페디미안의 은화
QUEST_20150729_002332	Over the jingling sound of gold, the old woman muttered. {nl}'If these two pieces of gold could ever marry, the baby gold would make me rich... but there's no life in these things...' {nl}Modestas heard those words, and decided to comment. {nl}'That gold won't make you rich by itself, so just put it into something worthwhile. {nl}Do you really think muttering at baby gold will do something?'{nl}	 그리고 금괴를 들고 무얼 하냐고 물었습니다.{nl}그러자 노파가 대답했지요.{nl}[이 금괴 둘을 혼인시키면 자식 금괴를 낳아서 내가 더 부자가 될 것 같은데 둘이 마음이 안 맞는지 성사가 안 돼서 고민이야.]{nl}모데스타스씨는 그 말을 듣고 너무 황당해서 이렇게 말했습니다.{nl}[아니 그 금괴로 부자가 되시려면, 그것을 밑천 삼아 장사를 하시든지 어디 좋은 곳에 투자를 하시든지 해야지 결혼시켜 금괴가 새끼를 낳게 한다는 것이 말이 됩니까?]{nl}	QUEST_20150317_001147	Over the jingling sound of gold, the old woman muttered. {nl}'If these two pieces of gold could ever marry, the baby gold would make me rich... but there's no life in these things...' {nl}Modestas heard those words, and decided to comment. {nl}'That gold won't make you rich by itself, so just put it into something worthwhile. {nl}Do you really think muttering at gold will do something?'{nl}	 그리고 금괴를 들고 무얼 하냐고 물었습니다.{nl}그러자 노파가 대답했지요.{nl}“이 금괴 둘을 혼인시키면 자식 금괴를 낳아서 내가 더 부자가 될 것 같은데 둘이 마음이 안 맞는지 성사가 안 돼서 고민이야.”{nl}모데스타스씨는 그 말을 듣고 너무 황당해서 이렇게 말했습니다.{nl}“아니 그 금괴로 부자가 되시려면, 그것을 밑천 삼아 장사를 하시든지 어디 좋은 곳에 투자를 하시든지 해야지 결혼시켜 금괴가 새끼를 낳게 한다는 것이 말이 됩니까?”{nl}	클라페다의 내기꾼
QUEST_20150729_002333	The old woman spoke plainly, 'Why not? If this way bears fruit, it'll be safe and secure.' {nl}'That's ridiculous. You should do what I do and gamble.' {nl}The woman was incensed.{nl}	 그러자 노파가 퉁명스럽게 대답했지요.{nl}[왜 안 돼? 성사만 되면 이것이 가장 좋은 방법이야. 가장 안전하고 확실하지.]{nl}[그런 말도 안 되는 생각을 하실 바에는 차라리 저처럼 내기나 하고 다니는 것이 훨씬 나을 것 같네요.]{nl}모데스타스씨가 그렇게 말하자 할머니는 성이 난 듯 보였습니다. 	QUEST_20150317_001148	The old woman spoke plainly, 'Why not? If it works, this'll certainly be the most pleasant, risk-free way to wealth.' {nl}'That's ridiculous. You should do what I do and gamble.' {nl}The woman was incensed.	 그러자 노파가 퉁명스럽게 대답했지요.{nl}“왜 안 돼? 성사만 되면 이것이 가장 좋은 방법이야. 가장 안전하고 확실하지.”{nl}“그런 말도 안 되는 생각을 하실 바에는 차라리 저처럼 내기나 하고 다니는 것이 훨씬 나을 것 같네요.”{nl}모데스타스씨가 그렇게 말하자 할머니는 성이 난 듯 보였습니다. 	클라페다의 내기꾼
QUEST_20150729_002334	'So, you think your betting ways are better?' {nl}'Why wouldn't I? There are moments where I could win or lose, but your way won't make any gold at all.' {nl}With Modestas' words, the old woman paused in thought. Finally, she said, {nl}'Then let's have a bet.'{nl}	 그리고 이렇게 말했습니다.{nl}[그러니까 지금 자네는 내 방법이 자네가 내기를 일삼는 것보다 못하다는 게야?]{nl}[당연한 일 아닙니까? 내기는 이길 때도 있고 질 때도 있지만, 할머니 방법으로는 절대 금괴가 늘어날 리가 없으니까요.]{nl}모데스타스씨가 그렇게 말하자 노파는 뭔가 잠시 생각하더니 이렇게 말했습니다.{nl}[그럼 자네 나랑 내기 하나 하지 않겠나?]{nl}	QUEST_20150317_001149	'So, you think your betting ways are better?' {nl}'Why wouldn't I? There are moments where I could win or lose, but your way won't make any gold at all.' {nl}With Modestas' words, the old woman paused in thought. Finally, she said, {nl}'Then let's have a bet.'	 그리고 이렇게 말했습니다.{nl}“그러니까 지금 자네는 내 방법이 자네가 내기를 일삼는 것보다 못하다는 게야?”{nl}“당연한 일 아닙니까? 내기는 이길 때도 있고 질 때도 있지만, 할머니 방법으로는 절대 금괴가 늘어날 리가 없으니까요.”{nl}모데스타스씨가 그렇게 말하자 노파는 뭔가 잠시 생각하더니 이렇게 말했습니다.{nl}“그럼 자네 나랑 내기 하나 하지 않겠나?”{nl}	클라페다의 내기꾼
QUEST_20150729_002335	The disturbing aura around her grew as soon as the offer reached Modestas' ears. He couldn't outright refuse. {nl}'What kind of bet?' {nl}'We'll see whether your way or my way will make us richer.' {nl}'And if I lose?'{nl}	 모데스타스씨는 순간적으로 노파의 심상치 않은 분위기를 상기하고는 약간 겁이 났지만, 그래도 내기라는 말의 유혹을 거절하지 못 하고 결국 이렇게 물었습니다.{nl}[무슨 내기요?]{nl}[자네 방식과 내 방식으로 누가 더 금괴를 늘리는지 보자는 말일세.]{nl}[하지만 내기는 질 때도 있는데요?]{nl}	QUEST_20150317_001150	The disturbing aura around her grew as soon as the offer reached Modestas' ears. He couldn't outright refuse. {nl}'What kind of bet?' {nl}'We'll see whether your way or my way will make us richer.' {nl}'And if I lose?'	 모데스타스씨는 순간적으로 노파의 심상치 않은 분위기를 상기하고는 약간 겁이 났지만, 그래도 내기라는 말의 유혹을 거절하지 못 하고 결국 이렇게 물었습니다.{nl}“무슨 내기요?”{nl}“자네 방식과 내 방식으로 누가 더 금괴를 늘리는지 보자는 말일세.”{nl}“하지만 내기는 질 때도 있는데요?”{nl}	클라페다의 내기꾼
QUEST_20150729_002336	'Don't worry about that. You will win, and you will lose - That won't change. The rules are fixed.' {nl}'What do you mean by that?' {nl}'By taking my offer, you will fail once, and you will win once. No matter what happens.' {nl}'Well, yeah. Winning and losing is how gambling works.'{nl}	 [그건 염려하지 말게. 원래 내기란 질 때도 있고 이길 때도 있는 것이지. 나도 그건 바꿀 수 없네. 하지만 그 순서는 고정해 줄 수 있지.]{nl}[네? 그게 무슨 말입니까?]{nl}[나하고 내기를 수락하면, 앞으로 누구와 무슨 내기를 하든지 이제부터 자네는 반드시 한 번은 이기고 한 번은 지게 되네.]{nl}[한 번은 이기고 한 번은 지는 그런 일은 내기에서 흔한 일입니다.]{nl}	QUEST_20150317_001151	'Don't worry about that. You will win, and you will lose - that won't change. The rules are fixed.' {nl}'What do you mean by that?' {nl}'By taking my offer, you will fail once, and you will win once. No matter what happens.' {nl}'Well, yeah. Winning and losing is how gambling works.'	 “그건 염려하지 말게. 원래 내기란 질 때도 있고 이길 때도 있는 것이지. 나도 그건 바꿀 수 없네. 하지만 그 순서는 고정해 줄 수 있지.”{nl}“네? 그게 무슨 말입니까?”{nl}“나하고 내기를 수락하면, 앞으로 누구와 무슨 내기를 하든지 이제부터 자네는 반드시 한 번은 이기고 한 번은 지게 되네.”{nl}“한 번은 이기고 한 번은 지는 그런 일은 내기에서 흔한 일입니다.”{nl}	클라페다의 내기꾼
QUEST_20150729_002337	'No. No matter how unlucky it may seem, you will win your first gamble. {nl}And then, no matter how favorable life may seem, you will fail the next.'{nl}	 모데스타스씨가 그렇게 말하자 노파는 고개를 저으며 설명을 덧붙였습니다.{nl}[내 말은 이제부터 여기를 떠나서 처음 하는 내기는 자네는 아무리 불리한 조건이라도 반드시 이긴다는 뜻일세. 그리고 다음 내기 즉, 두 번째로 하는 내기는 아무리 유리한 내기라도 반드시 지게 되지.]{nl}	QUEST_20150317_001152	'No. No matter how unlucky things may seem, you will win your first gamble. {nl}And then, no matter how favorable life may seem, you will fail the next.'	 모데스타스씨가 그렇게 말하자 노파는 고개를 저으며 설명을 덧붙였습니다.{nl}“내 말은 이제부터 여기를 떠나서 처음 하는 내기는 자네는 아무리 불리한 조건이라도 반드시 이긴다는 뜻일세. 그리고 다음 내기 즉, 두 번째로 하는 내기는 아무리 유리한 내기라도 반드시 지게 되지.”{nl}	클라페다의 내기꾼
QUEST_20150729_002338	Modestas was still confused by these strange words. {nl}'So, you're saying I'll win on every odd bet, and lose on every even one?' {nl}'Yes. It will be so. You will win coin, and then you won't. Is that not fair? {nl}One coin will be enough to succeed, no matter how many bets you make. That is my offer.' {nl}'You think I'll switch between winning and losing, huh?{nl}	 모데스타스씨는 그 말에 약간 어리둥절해서 다시 물었습니다.{nl}[그러니까 이제부터 저는 홀수 차례 내기는 무조건 이기고 짝수 차례는 무조건 진다고요?]{nl}[그렇지. 그렇게 될 걸세. 자네가 할 일은 홀수 내기에는 많은 돈을 걸고, 다음 차례에는 적은 돈을 거는 일밖에 없지. 그렇게 몇 번 하면 금괴 하나 값은 충분히 벌지 않겠나? 어떤가? 그런 조건에 나랑 내기해볼 텐가?]{nl}[그렇게 번갈아 이기고 지는 능력은 얼마나 지속되는 것이지요?]{nl}	QUEST_20150317_001153	Modestas was still confused by these strange words. {nl}'So, you're saying I'll win on every odd bet, and lose on every even one?' {nl}'Yes. It will be so. You will win some, and then you won't. Is that not fair? {nl}One coin will be enough to succeed, no matter how many bets you make. That is my offer.' {nl}'You think I'll switch between winning and losing, huh?'{nl}	 모데스타스씨는 그 말에 약간 어리둥절해서 다시 물었습니다.{nl}“그러니까 이제부터 저는 홀수 차례 내기는 무조건 이기고 짝수 차례는 무조건 진다고요?”{nl}“그렇지. 그렇게 될 걸세. 자네가 할 일은 홀수 내기에는 많은 돈을 걸고, 다음 차례에는 적은 돈을 거는 일밖에 없지. 그렇게 몇 번 하면 금괴 하나 값은 충분히 벌지 않겠나? 어떤가? 그런 조건에 나랑 내기해볼 텐가?”{nl}“그렇게 번갈아 이기고 지는 능력은 얼마나 지속되는 것이지요?”{nl}	클라페다의 내기꾼
QUEST_20150729_002339	With her hand to her chin, the old woman gave a puzzling response. {nl}'Three times each, should be enough. Return to me after you make six gambles. {nl}Naturally, if you don't have more coin after your sixth bet, I will win.'{nl}	노파는 손가락으로 턱을 만지며 잠시 망설이고 고민하다 대답했습니다.{nl}[각각 세 번이면 충분하겠지. 그러니까 자네는 여섯 번의 내기를 하고 내게 돌아와야 하네. 물론 마지막 여섯 번째 내기도 질 줄 알면서도 해야 하지. 안 그러면 무조건 내가 이길 테니까.]{nl}	QUEST_20150317_001154	With her hand to her chin, the old woman gave a puzzling response. {nl}'Three times each should be enough. Return to me after you make six gambles. {nl}Naturally, if you don't have more coin after your sixth bet, I will win.'	노파는 손가락으로 턱을 만지며 잠시 망설이고 고민하다 대답했습니다.{nl}“각각 세 번이면 충분하겠지. 그러니까 자네는 여섯 번의 내기를 하고 내게 돌아와야 하네. 물론 마지막 여섯 번째 내기도 질 줄 알면서도 해야 하지. 안 그러면 무조건 내가 이길 테니까.”{nl}	클라페다의 내기꾼
QUEST_20150729_002340	Modestas seemed to tremble. 'How much should I earn, then?' {nl}'You start with one gold piece,' she replied, 'and when you return, show me all your gold pieces but that one. {nl}If you stretch that single piece to anything more, then you win. As for the time... you have one week.' {nl}'So, what do you get when I lose?' Modestas reminded her.{nl}	 모데스타스씨는 약간 떨리는 목소리로 물었습니다.{nl}[그럼 얼마나 벌어야 하지요?]{nl}노파가 대답했습니다.{nl}[일단 금괴를 하나 주지. 그리고 내게 올 때 그것 말고 다른 금괴를 하나 가져오게. 내 금괴들이 새끼를 쳤든 안 쳤든 그러면 자네가 이긴 걸로 해주지. 시간은 흠. 어디 보자… 한 일주일이면 충분하겠지.]{nl}모데스타스씨는 마지막으로 한 가지를 더 물었습니다. {nl}[만약 당신과의 이 내기에서 내가 지면 무엇을 내놓아야 하죠?]{nl}	QUEST_20150317_001155	Modestas seemed to tremble. 'How much should I earn, then?' {nl}'You'll start with one gold piece,' she replied, 'and when you return, show me all your gold pieces but that one. {nl}If you stretch that single piece to anything more, then you win. As for time... you have one week.' {nl}'So, what do you get when I lose?' Modestas reminded her.{nl}	 모데스타스씨는 약간 떨리는 목소리로 물었습니다.{nl}“그럼 얼마나 벌어야 하지요?”{nl}노파가 대답했습니다.{nl}“일단 금괴를 하나 주지. 그리고 내게 올 때 그것 말고 다른 금괴를 하나 가져오게. 내 금괴들이 새끼를 쳤든 안 쳤든 그러면 자네가 이긴 걸로 해주지. 시간은 흠. 어디 보자… 한 일주일이면 충분하겠지.”{nl}모데스타스씨는 마지막으로 한 가지를 더 물었습니다. {nl}“만약 당신과의 이 내기에서 내가 지면 무엇을 내놓아야 하죠?”{nl}	클라페다의 내기꾼
QUEST_20150729_002341	'Well...' the old woman lingered, 'If you win, everyone will know about my gold - {nl}and you'll have the power of winning and losing. On the other hand...' {nl}''On the other hand...'?' Modestas said, tensely.{nl}	 노파가 대답했습니다.{nl}[그건 말일세…]{nl}{nl}그렇게 잠시 뜸을 들인 노파가 말을 이었습니다.{nl}[일단 이길 경우에 내 금괴를 모두 주지. 그리고 자네에게 준 번갈아 이기고 지는 능력을 평생 지니게 해주지. 그러나 만약 지면..]{nl}[지면요?]{nl}모데스타스씨가 긴장해서 물었습니다.{nl}	QUEST_20150317_001156	'Well...' the old woman lingered, 'If you win, everyone will know about my gold - {nl}and you'll have the power of winning and losing. On the other hand...' {nl}''On the other hand...'?' Modestas said, tensely.	 노파가 대답했습니다.{nl}“그건 말일세…”{nl}{nl}그렇게 잠시 뜸을 들인 노파가 말을 이었습니다.{nl}“일단 이길 경우에 내 금괴를 모두 주지. 그리고 자네에게 준 번갈아 이기고 지는 능력을 평생 지니게 해주지. 그러나 만약 지면..”{nl}“지면요?”{nl}모데스타스씨가 긴장해서 물었습니다.{nl}	클라페다의 내기꾼
QUEST_20150729_002342	'When I win, then after this, the friends you know will disappear every time you lose a bet.' {nl}Modestas was unnerved by the conditions set. He did not immediately object, but thought of the victory, {nl}and soon accepted. Modestas was, most of all, the kind of person who never backed down.{nl}	 [그러니까 그건 내가 이기는 경우인데, 그때는 자네가 이후로 어떤 내기든 내기에서 질 때마다 자네가 아는 지인들이 사라지게 될 걸세.]{nl}모데스타스씨도 그 말을 듣자 질 때 조건이 두렵기는 했습니다. 그러나 곧 앞으로 내기를 안 하면 그만이지 라는 생각이 들었고, 곧이어 해도 이기면 그만이지 라는 생각이 들자 저도 모르게 고개를 끄덕여 승낙하고 말았습니다. 무엇보다 모데스타스씨는 내기를 거절할 수 없는 성격의 사람이었으니까 말입니다.{nl}	QUEST_20150317_001157	'After I win, the friends you know will disappear every time you lose a bet.' {nl}Modestas was unnerved by the conditions set. He did not immediately object; instead, he thought of victory, {nl}and soon accepted. Modestas was, most of all, the kind of person who never backed down.	 “그러니까 그건 내가 이기는 경우인데, 그때는 자네가 이후로 어떤 내기든 내기에서 질 때마다 자네가 아는 지인들이 사라지게 될 걸세.”{nl}모데스타스씨도 그 말을 듣자 질 때 조건이 두렵기는 했습니다. 그러나 곧 앞으로 내기를 안 하면 그만이지 라는 생각이 들었고, 곧이어 해도 이기면 그만이지 라는 생각이 들자 저도 모르게 고개를 끄덕여 승낙하고 말았습니다. 무엇보다 모데스타스씨는 내기를 거절할 수 없는 성격의 사람이었으니까 말입니다.{nl}	클라페다의 내기꾼
QUEST_20150729_002343	Are you not busy? You seemed in a hurry on your horse before you passed by for a talk. You should stop worrying about me and go.' {nl} Sigfried, hearing Modestas' words, replied, {nl} 'I was busy, but I still have time to walk with you for another 10 minutes or so. This horse might not seem like much, but when it comes down to it he can go pretty fast.' {nl}	 [자네, 바쁘지 않나? 말까지 탄 것을 보니 바쁜 모양인데 나는 개의치 말고 어서 가보게.]{nl}모데스타스씨의 이 말을 들은 지그프리씨는 이렇게 말했습니다.{nl}[바쁘긴 하지만, 조금 더 걷다가 말을 타도 충분하다네. 이 놈이 보기보다 보통 말이 아니어서 꽤나 빠르다네.]{nl}	QUEST_20150317_001162	'Are you not busy? You seemed to be in a hurry on your horse before you passed by for a talk. You should stop worrying about me and go.' {nl}Sigfried, hearing Modestas' words, replied, {nl} 'I was busy, but I still have time to walk with you for another ten minutes or so. This horse might not look like much, but when it comes down to it, he can go pretty fast.' {nl}	 “자네, 바쁘지 않나? 말까지 탄 것을 보니 바쁜 모양인데 나는 개의치 말고 어서 가보게.”{nl}모데스타스씨의 이 말을 들은 지그프리씨는 이렇게 말했습니다.{nl}“바쁘긴 하지만, 조금 더 걷다가 말을 타도 충분하다네. 이 놈이 보기보다 보통 말이 아니어서 꽤나 빠르다네.”{nl}	클라페다의 내기꾼
QUEST_20150729_002344	Seeing Sigfried not budge, Modestas tried again to persuade him, {nl} 'Wouldn't it be better to be early as opposed to be on time?' {nl} {nl} Hearing this, Sigfried became adamant, {nl} 'Do you not believe what I just said or are you willfully ignoring it all?' {nl} A disconcerted Modestas said, {nl} 'No, I didn't mean it like that......' {nl}	 지그프리씨가 뜻대로 움직이지 않자 모데스타스씨는 다시 이렇게 말하며 권했습니다.{nl}[아무리 그래도 늦느니 서두르는 편이 낫지 않겠나?]{nl}{nl}그러자 지그프리씨는 약간 짜증을 내며 이렇게 말했습니다.{nl}[아니 지금 내 말을 못 믿는 겐가? 아니면 내 말을 무시하는 겐가?]{nl}모데스타스씨는 황급히 말했습니다.{nl}[아니 나는 그런 뜻이 아니고….]{nl}	QUEST_20150317_001163	Seeing Sigfried not budge, Modestas tried again to persuade him, {nl}'Wouldn't it be better to be early as opposed to be on time?' {nl}{nl}Hearing this, Sigfried became adamant, {nl}'Do you not believe what I just said, or are you willfully ignoring it all?' {nl}A disconcerted Modestas said, {nl}'No, I didn't mean it like that...' {nl}	 지그프리씨가 뜻대로 움직이지 않자 모데스타스씨는 다시 이렇게 말하며 권했습니다.{nl}“아무리 그래도 늦느니 서두르는 편이 낫지 않겠나?”{nl}{nl}그러자 지그프리씨는 약간 짜증을 내며 이렇게 말했습니다.{nl}“아니 지금 내 말을 못 믿는 겐가? 아니면 내 말을 무시하는 겐가?”{nl}모데스타스씨는 황급히 말했습니다.{nl}“아니 나는 그런 뜻이 아니고….”{nl}	클라페다의 내기꾼
QUEST_20150729_002345	However, before Modestas could say any more, Sigfried said, 'If you don't believe me, why don't we have a bet?' {nl} {nl} Naturally, the words, 'Sure. What do you want to wager?' rose up in Modestas' throat.	하지만 모데스타스씨가 뭐라고 말을 더 잇기 전에 지그프리씨가 이렇게 말했습니다.{nl}[정 그렇게 내 말을 못 믿겠다면 우리 내기함세.]{nl}모데스타스씨는 ‘내기 그것 좋지. 뭘 걸까?’ 라는 말이 저절로 목구멍까지 치솟아 오르는 것을 간신히 누를 수 있었습니다.  {nl}	QUEST_20150317_001164	However, before Modestas could say any more, Sigfried said, 'If you don't believe me, why don't we have a bet?' {nl}{nl}Naturally, the words, 'Sure. What do you want to wager?' rose up in Modestas' throat.	하지만 모데스타스씨가 뭐라고 말을 더 잇기 전에 지그프리씨가 이렇게 말했습니다.{nl}“정 그렇게 내 말을 못 믿겠다면 우리 내기함세.”{nl}모데스타스씨는 ‘내기 그것 좋지. 뭘 걸까?’ 라는 말이 저절로 목구멍까지 치솟아 오르는 것을 간신히 누를 수 있었습니다.  	클라페다의 내기꾼
QUEST_20150729_002346	Considering Modestas' habit, to simply not immediately accept a gamble took superhuman willpower from him. {nl} 'What...  what kind of bet?' {nl} 'We were going to bet on whether my horse is fast or not.' {nl} Modestas desperately fought his inner gambler.	 평소의 모데스타스씨의 습관을 생각해보면, 당장 승낙하지 않았다는 사실만으로도 거의 초인적인 의지력을 발휘한 것이라 할 수 있었습니다.{nl}[무…무슨 내기?]{nl}[내가 타고 온 말이 빠른지 안 빠른지 내기를 하자는 말일세. 만약 지면 내가 이 말을 자네에게 그냥 주지.]{nl}모데스타스씨는 정말 필사적으로 마음속으로 싸웠습니다.{nl}	QUEST_20150317_001165	Considering Modestas' habit, to not immediately accept a gamble took superhuman willpower from him. {nl}'What... What kind of bet?' {nl}'We're going to bet on whether my horse is fast or not.' {nl}Modestas desperately fought against his inner gambler.	 평소의 모데스타스씨의 습관을 생각해보면, 당장 승낙하지 않았다는 사실만으로도 거의 초인적인 의지력을 발휘한 것이라 할 수 있었습니다.{nl}“무…무슨 내기?”{nl}“내가 타고 온 말이 빠른지 안 빠른지 내기를 하자는 말일세. 만약 지면 내가 이 말을 자네에게 그냥 주지.”{nl}모데스타스씨는 정말 필사적으로 마음속으로 싸웠습니다.	클라페다의 내기꾼
