QUEST_20150317_000001	クエスト修正が必要なユーザーを選択してください。
QUEST_20150323_001672	ありがとうございます。これで沢山の方々が回復できるでしょう。
QUEST_20150323_001673	穴蔵の向こうのラージガテスを全滅させればいい。{nl}昔、主人の息子が穴蔵で行方不明になってな。不気味だから絶対に行きたくないんだ。
QUEST_20150323_001674	それは良かった。俺の部下たちはここを守らなきゃならないからな。{nl}あいつはこの上の地帯で目撃されている。地図に印をつけてやろう。{nl}きっと穴蔵をいくつか越えていかなきゃならんだろうな。
QUEST_20150323_001675	穴蔵
QUEST_20150323_001676	逆戻りはできないようだ。
QUEST_20150323_001677	ビエタ渓谷は女神の偉大なる作品なのだろうか。それとも自然の脅威か。{nl}南の大地に広がる純白の石灰石の階段は湧き水に濡れて幻想的に輝く。
QUEST_20150323_001678	ここでは誰も信じてはならぬ。女神もお前自身も信じるな。
QUEST_20150323_001679	ホーバーク、女神はあなたと対立する意志はありません。{nl}女神への敵対的な行為は止めるのです。
QUEST_20150323_001680	バルトラス…。
QUEST_20150323_001681	あちらへ戻れ！
QUEST_20150323_001682	お前は黄昏の星の鍵を造る準備を。{nl}時間が無いので、急がなければ。すぐに啓示者をそちらへ導く。
QUEST_20150323_001683	これ以上我の魂を貴様の自由にはさせぬ！
QUEST_20150323_001684	一体どういうことだ…。{nl}貴様ら、我の魂で何をするつもりだ！
QUEST_20150323_001685	スラウタス峡谷が邪悪な気に染まり、魔族が侵攻を始めたそうです。{nl}番人やパラディン追従者たちが懸命に戦っていますが、あなたの力が必要な状況です。
QUEST_20150323_001686	ベヤ谷で奇妙な事件が起きています。{nl}村人が一人もいなくなってモンスターだらけになっているとか。
QUEST_20150323_001687	碑石路にモンスターたちが座り込んで通行を妨害しています。{nl}モンスターたちを倒さないと、すべての街や村が孤立してしまうでしょう。
QUEST_20150323_001688	ドバシア峠から大王の関門へ続く道を開通させるのに支援が必要です。{nl}どうか、協力してください。
QUEST_20150323_001689	クラペダの賭博師{nl}(A Wagerer of Klaipeda)
QUEST_20150323_001690	 モデスタスさんが負けを認め、約束通り後で払うと言い残して立ち去ろうとすると、年老いたアルケミストが不気味な笑顔でモデスタスさんを呼び止めました。{nl}
QUEST_20150323_001691	鉱山の村の探索
QUEST_20150323_001692	サクニス平原の災い
QUEST_20150323_001693	ビルナ森のモンスターの目的
QUEST_20150323_001694	ビルナ森の祭壇
QUEST_20150323_001695	ポスリンキスの森の脅威
QUEST_20150323_001696	大又の道の食糧の山
QUEST_20150323_001697	巡礼者のために
QUEST_20150323_001698	呪いの実体
QUEST_20150323_001699	埋め立て作業
QUEST_20150323_001700	しぶとい命
QUEST_20150323_001701	滋養強壮剤が必要
QUEST_20150323_001702	まともなものが食べたい
QUEST_20150323_001703	押し付け
QUEST_20150323_001704	おかしな気の処理
QUEST_20150323_001705	エネルギー補充
QUEST_20150323_001706	肯定的な証拠
QUEST_20150323_001707	武器の受給
QUEST_20150323_001708	食糧の備蓄
QUEST_20150323_001709	破砕法
QUEST_20150323_001710	暴れ狂うモンスター
QUEST_20150323_001711	怪しい短剣
QUEST_20150323_001712	軍の食糧を狙うモンスター
QUEST_20150323_001713	ルイズの農地
QUEST_20150323_001714	少ない実り
QUEST_20150323_001715	古い種
QUEST_20150323_001716	シャトンの意地
QUEST_20150401_001717	星の石像
QUEST_20150401_001718	今は何の反応も無い。
QUEST_20150401_001719	制御祭壇
QUEST_20150401_001720	すでに祭壇が作動中だ…。
QUEST_20150401_001721	すでに灯がともされている…。
QUEST_20150401_001722	灯を付けられそうな物が必要だ…。
QUEST_20150401_001723	スターストーン
QUEST_20150401_001724	何かにかすかに反応しているようだ…。
QUEST_20150401_001725	祭壇を作動させるには、何かが足りなそうだ…。
QUEST_20150401_001726	祭壇から強力な気を感じる…。
QUEST_20150401_001727	ゾーンオブジェクトチェック
QUEST_20150401_001728	謎の力を感じる…。
QUEST_20150401_001729	何の反応も無い…。
QUEST_20150401_001730	暗い影が消えると、モンスターが力を失っていく…。
QUEST_20150401_001731	星のランプ
QUEST_20150401_001732	今はこれ以上吸収できないようだ…。
QUEST_20150401_001733	吸い込まれそうな感じのする光だ…。
QUEST_20150401_001734	後で食べようと思って、草の中にいくつか隠したのを思い出しました。{nl}それを持って来てくれませんか？
QUEST_20150401_001735	やっぱり痛んだか。{nl}仕方ないな。新しいのを持って行きな。
QUEST_20150401_001736	ああ、腐ったにおいがする。それは捨ててから来てくれ。
QUEST_20150401_001737	うっ…。それを食べろって言うのか？腐って無いのを持って来てくれ。
QUEST_20150401_001738	封印の魔法陣を強化すれば、この地域を包み込むおかしな気を抑えることができる。
QUEST_20150401_001739	正しいことには当然参加しますよ。
QUEST_20150401_001740	さっきあげたけど…。
QUEST_20150401_001741	頭がクラクラするらしい。薬が効いたのかな…？
QUEST_20150401_001742	飢えが収まった気がする。
QUEST_20150401_001743	知りたいことがあるようだな。問え、啓示者よ。
QUEST_20150401_001744	ヴァカリネはこの扉の向こう、魔族収監所でバルトラスと対峙している。{nl}誰かの助けが無ければ、そう長くはもたぬだろう。
QUEST_20150401_001745	男爵の手下たちがこの中に入って行った。もちろん戻ることはできなかったが、{nl}あのウィザードの身体の中から全てを見てきた。{nl}ヴァカリネと彼女のクポルたちの悲鳴も…。
QUEST_20150401_001746	では、話してもらおうか。{nl}お前に女神を救う気があるのかどうかを。
QUEST_20150401_001747	転移の隙間から出てきた魔族は、アウシュラ礼拝所に終結していると聞きました。{nl}女神の名の下に、あなたの健闘をお祈りいたします。
QUEST_20150401_001748	王陵建立碑
QUEST_20150401_001749	ジャカリエル国王とその子孫たちの遺志を継いだ者たちがここに王の墓を建設した。
QUEST_20150401_001750	[秘密の場所について書かれている。]
QUEST_20150401_001751	[王の名を叫べ！の内容]{nl}
QUEST_20150401_001752	[女神アウシュリネの名を叫べ！の内容]{nl}
QUEST_20150401_001753	[女神ジェミナの名を叫べ！の内容]{nl}
QUEST_20150401_001754	[女神ヴァカリネの名を叫べ！の内容]{nl}
QUEST_20150401_001755	[女神ライマの名を叫べ！の内容]{nl}
QUEST_20150401_001756	[女神ガビヤの名を叫べ！の内容]{nl}
QUEST_20150401_001757	この言葉を理解した者は悟りが開かれるであろう。{nl}先の無い道でさらに進むべき道を見つけんとするならば、その名を叫ぶがいい。
QUEST_20150401_001758	頭の中に小さなささやきが聞こえてくる。
QUEST_20150401_001759	正体不明の水晶
QUEST_20150401_001760	封印されていた魔力の気が解き放たれた。
QUEST_20150401_001761	封印が解けて水晶が空になっている。
QUEST_20150401_001762	魔力を封印している。
QUEST_20150401_001763	魔力抑制水晶の破片を使えば、強い魔力を抑制できそうだ。
QUEST_20150401_001764	魔将ナクティス
QUEST_20150401_001765	我の土地をずいぶん走り回ったようだが…。{nl}小僧よ、我の名はすなわち呪いなのだ。
QUEST_20150401_001766	一体どういうことだ…。{nl}貴様ら、我の魂で何をするつもりだ！
QUEST_20150401_001768	祝福の再建
QUEST_20150406_001769	啓示者様もそう思ってらっしゃるんですね。{nl}皮をお願いします。モンスターから獲得できると思います。
QUEST_20150406_001770	では1000シルバーだけくれ。私も最近家計が厳しくてな。
QUEST_20150406_001771	本当に悪いな。でも、こっちの事情をわかってほしい。
QUEST_20150406_001772	それならこれ以上用はない。
QUEST_20150406_001773	私より辛いんだな。
QUEST_20150406_001774	私よりも可哀そうな人が…どうぞ、持っていきなさい。
QUEST_20150406_001775	どうしたのか？
QUEST_20150406_001776	ところで、初めて見る顔だな。{nl}ホラチウスの仲間という証拠があれば話は違うけど。
QUEST_20150406_001777	なるほど！さあ、これを。
QUEST_20150406_001778	怪しい人に大事な農機具を渡すわけにはいかん。
QUEST_20150406_001779	だったら、どんな根拠であんたを信じろっていうんだ？
QUEST_20150406_001780	全くしつこいなぁ。持っていきなさい。
QUEST_20150406_001781	ホラチウスは本当に大丈夫かな…。
QUEST_20150406_001782	誰だか知らないけど、私はとても忙しいぞ。
QUEST_20150406_001783	万が一、失敗したらどうなるんだ？
QUEST_20150406_001784	それくらいのことなら協力しよう。{nl}農機具だけでいいのか？
QUEST_20150406_001785	それなら喜んで渡します。{nl}きっと成功しますよ。。
QUEST_20150406_001786	やっぱりそれだけじゃ足りないのか？
QUEST_20150406_001787	シャトンのネックレス
QUEST_20150406_001788	血が付いた古いネックレスを発見した。もしかして、シャトンの息子のものかも？
QUEST_20150406_001789	水晶の欠片を集めて加工できる機械です。{nl}どのアイテムに加工しますか？
QUEST_20150406_001790	メモ
QUEST_20150406_001791	少しの水晶の欠片を共鳴させたら、美しいメロディーが流れます。
QUEST_20150406_001792	この先は落石地帯なのでご注意を！
QUEST_20150406_001793	謎の機械装置
QUEST_20150406_001794	古びた表面には赤、青、黄色の3つの円が描かれている。
QUEST_20150406_001795	我の魂を千々に引き裂いた還元の鎖か…おかげで私の魂を集めることができた。
QUEST_20150406_001796	どうやら我の霊魂の力で転移の隙間を塞ぐつもりだったようだな。{nl}手遅れになる前に気付いてよかった。
QUEST_20150406_001797	我がそう簡単にやられると思ったか？{nl}ヴァカリネによろしく伝えてくれ。
QUEST_20150406_001798	啓示者よ、そちらを私に渡してください。{nl}後は女神に任せてください。
QUEST_20150406_001800	忘れてしまった魔法陣
QUEST_20150414_001801	気になりますか？
QUEST_20150414_001802	受付係ラムダ
QUEST_20150414_001803	PTメンバーが全員集まらないと、依頼を開始することができません。
QUEST_20150414_001804	依頼を受けることができる条件が満たされていません。
QUEST_20150414_001805	依頼を開始しますか？
QUEST_20150414_001806	正解だ。{nl}祭壇は再び作動するだろう。
QUEST_20150414_001807	ルグィン家の箱
QUEST_20150414_001808	今は何も見つからない。
QUEST_20150414_001809	テスラ献上
QUEST_20150414_001810	偉大なる女神に私の魂を込めた渾身の女神像を捧げます。
QUEST_20150414_001811	うっ…。それを食べろって言うのか？腐って無いのを持って来てくれ。
QUEST_20150414_001812	よしよし。浄化は順調に進んでいるな。{nl}ようこそ、我がの領地へ、啓示者よ。
QUEST_20150414_001813	浄化？ああ…そうだな。やっているぞ。{nl}それも全ては農民たちのため。あの動力源さえまともに動いてくれたらな。
QUEST_20150414_001814	この老いぼれの望みはたった一つ。{nl}永遠なもの、永遠な美しさ…。{nl}
QUEST_20150414_001815	ああ、動力源や浄化の話だ。
QUEST_20150414_001816	この動力機は穀物を食い過ぎる。{nl}私が徳と権威を兼ね備えているからこそ、これまで維持できたと言えるだろう。
QUEST_20150414_001817	農場の隅々からおかしな気を感じなかったか？{nl}それが農場を汚染している原因だ。{nl}
QUEST_20150414_001818	魔法陣でその気を抑え、魔力の動力源でこの農場を浄化しようとしている。{nl}これは全部、隣にいるリマスのおかげだ。
QUEST_20150414_001819	ところで、統制区域へ行かせた探査隊はいつ帰ってくるんだ？{nl}
QUEST_20150414_001820	おお、まだいたのか。{nl}ゆっくり見物して行くといい。
QUEST_20150414_001821	万が一失敗したら…その時はどうなるんだろう。
QUEST_20150414_001822	いつからか年貢の負担があまりにも重くなって…人の心も荒れ果ててきました。
QUEST_20150414_001823	子供のお使いじゃないんだから…。
QUEST_20150414_001824	誰かのメモ
QUEST_20150414_001825	ここは狂っている。この呪われたルーツクリスタルを破壊するためには火を放つしかない。火をつけよう。
QUEST_20150414_001826	男爵は欲に目がくらみ、手下をこの中に送り込んだ。{nl}もちろん、彼らが帰ってくることはなかったが…。{nl}
QUEST_20150414_001827	このウィザードの目で全てを見てきた。{nl}ヴァカリネや彼女のクポルたちが上げた悲鳴も…。
QUEST_20150414_001828	それは女神を救う意思があるかどうか、お前次第だ。{nl}これからゆっくり話を聞かせてもらおうか…。
QUEST_20150414_001829	モンスターをより効果的に退治する方法はないかな…。
QUEST_20150414_001830	農場を新しく開墾するって本当に大変なことですね。{nl}幸い、モンスターが少なくてよかったです。
QUEST_20150414_001831	元々大人しい性格のモンスターだったのに、いきなり凶暴になるなんて…。{nl}啓示者様もそんなことを聞いたことがありますか？
QUEST_20150414_001832	啓示者様がいなかったら多くの人が命を奪われたかもしれません。{nl}一体誰がどういうつもりでこんなことをやらかしたんですかね？
QUEST_20150414_001833	こんなことをやらかした人はきっと人を装ったモンスターに違いありません。{nl}毒をばら撒くなんて。エボニフォン？覚えておきます。
QUEST_20150414_001834	新しい農場を開墾しようとしたら、おかしな事ばかり起きて…。{nl}まあ、このご時世におかしな事がない方がもっとおかしいですけどね。
QUEST_20150414_001835	クラペダと近いから人手が足りないことはないだろうと思いましたが、勘違いでした。{nl}まあ、大型モンスターが現れても対峙できる兵力があるだけで感謝しないと。
QUEST_20150414_001836	農場を守るだけでもこんなに大変なのに、棘の森を開拓している兵士たちはどれだけ辛いんでしょうかね？
QUEST_20150414_001837	モンスター1、2匹くらいは平気ですが…{nl}万が一群れで襲いかかってきたら、一人で耐えられるか心配です。
QUEST_20150414_001838	ここで見張っています。{nl}東の森に比べたらモンスターの数が少なくてマシですが…。それでもそれなりに大変なんですよ。
QUEST_20150414_001839	仲間たちが顔を真っ青にして逃げていたんですけど、一体何があったんですか？
QUEST_20150414_001840	ゴルゴンですか？そんな…だから俺が見たと言ったのに。
QUEST_20150414_001841	ここで巨大なモンスターが目撃されたという情報があるけど、もしかして見たことあるか？
QUEST_20150414_001842	おかしいな。こんなどん詰まりにそんなに大きなモンスターが隠れているなんて。{nl}報告を無視するわけにはいかないし…。
QUEST_20150414_001843	ここで収穫した作物はクラペダの方に運ばれる。{nl}聞いた話だと、多くの農場が邪悪なオーラに汚染されてしまったそうだ。
QUEST_20150414_001844	つい最近、開墾を開始したばかりの農場だから、農地を与えられたのは私一人しかいない。{nl}この調子じゃ、いつ全部開墾できるか不安だな。
QUEST_20150414_001845	あのゴルゴンを倒しただと？{nl}啓示者という連中は全員超人級なんだな。
QUEST_20150414_001846	危く全滅するところだったんだ。{nl}全員負傷せずに済んだなんて、一瞬女神が戻ってきたのかと思ったよ。
QUEST_20150414_001847	私はまだ戦えたのに、仲間たちが先に逃げました。{nl}あんなモンスターなんていくらでも…。
QUEST_20150414_001848	次は何があっても最前線で戦います。{nl}私には絶対倒せる自信があったんですよ。
QUEST_20150414_001849	啓示者様がいなかったら本当に危ないところでした。{nl}クラペダ周辺にあんなデカいモンスターが現れるなんて。
QUEST_20150414_001850	ガトゥスの野郎、真っ先に逃げたくせに口だけは達者なんだな…。{nl}
QUEST_20150414_001851	ギティス様が俺たちに嘘をつくなんて！{nl}大人しいモンスターしかいないって言ったのに…。
QUEST_20150414_001852	エーロンの方がもっとひどいですよ。{nl}ゴルゴンだってことを言わなかったんだから。
QUEST_20150414_001853	逃げながら啓示者様の戦いぶりを見たんですが、本当にすごいですね。{nl}ああいうモンスター達と何度も戦ってるんですか？
QUEST_20150414_001854	啓示者様が本当にうらやましいです。{nl}私も、それ相応の実力を持っていたら立派な兵士になれたはず…。
QUEST_20150414_001855	お腹の調子が…うっ…。
QUEST_20150414_001856	まだお腹の調子は良くありませんが、前よりはマシになりました。{nl}本当にありがとうございます。
QUEST_20150414_001857	啓示者様が私たちのために薬を調達してくれたと聞きました。{nl}啓示者様に女神の祝福がありますように。
QUEST_20150414_001858	うぅっ…解毒剤はまだか…。
QUEST_20150414_001859	助けて…。
QUEST_20150414_001860	あなたがいなかったら今頃、女神のもとへ行っていただろう。{nl}本当にありがとう。
QUEST_20150414_001861	何か異様な気を感じて失神してしまい、その後毒にやられたということに気付いたんだ。{nl}本当にあの痛みは考えたくもない。
QUEST_20150414_001862	助けてくれ…苦しい…。
QUEST_20150414_001863	啓示者様、助けてくれてありがとうございます。{nl}さっきは死んだ方がマシだと思いましたよ。
QUEST_20150414_001864	急に熱気に襲われ…その後は思い出せません。{nl}エボニフォン？その名前は初耳ですね。
QUEST_20150414_001865	お腹の中が燃えているようだ…。
QUEST_20150414_001866	お戻りください。{nl}ここは決して人間が入ってはいけない所です。
QUEST_20150414_001867	私たちにはあなたを守り切れません。お戻りください。
QUEST_20150414_001868	ヌアエーレはもう手足を失ったも同然ですね。{nl}さあ、アルドナ様を訪ねてください。ヌアエーレの領域へ案内してくれるはずです。
QUEST_20150414_001869	転移の隙間を除けば、私たちの一番の悩みはヌアエーレでした。{nl}これで転移の隙間に集中できそうです。{nl}収監所第3区域へお向かいください。女神があなたの力を必要としています。
QUEST_20150414_001870	準備せよ。新しい本拠地を作るのだ。
QUEST_20150414_001871	魔界と人間界が繋がっているこの場所を礎の地とする。
QUEST_20150414_001872	女神の翼を折り、全ての結界を壊せ。
QUEST_20150414_001873	この地から、勢力を伸ばすのだ。
QUEST_20150414_001874	ここは我々の地になるだろう。
QUEST_20150414_001875	気になる情報がありましたら、いつでも来てください。
QUEST_20150414_001876	その中でもパラディンマスターは首都で沢山の人々を救った英雄です。{nl}現在、彼は巨大な悪と戦うためにスラウタス峡谷へ…。
QUEST_20150414_001877	フィオナは大嫌い。生意気にもハンターマスターなんてしてるし。{nl}でもエボニフォンを倒すためなら、フィオナと手を組んでもいいわ。
QUEST_20150414_001878	治療された小作人
QUEST_20150414_001879	おかげ様で助かりました。まだお腹の調子はイマイチですが…本当にありがとうございます！
QUEST_20150414_001880	ブドウがずっとこの調子ならシャトン農場を去るつもりです。{nl}こんな苦労、もううんざりですから。
QUEST_20150414_001881	毒のせいで全身が燃えるかと思いました。{nl}助けてくれて本当にありがとうございます…。
QUEST_20150414_001882	倉庫番リタ
QUEST_20150414_001883	あら？こんな路地裏によくぞいらっしゃいました！{nl}荷物の出し入れはここでできますよー！
QUEST_20150414_001884	ここでは誰も信じてはならぬ。女神も、お前自身も。
QUEST_20150414_001885	魔将ホーバーク。女神はあなたと対立する意志はありません。{nl}女神への敵対的な行為は止めるのです。
QUEST_20150414_001886	お前たちは黄昏の星の鍵を造る準備を。{nl}時間が無いぞ。急ぐのだ。{nl}救援者へは私が話をしよう。
QUEST_20150414_001887	我の霊魂は誰にも渡さん！
QUEST_20150414_001888	おかげで我の霊魂を集めることができた。{nl}ところでこれは…我の霊魂を引き裂いた還元の鎖ではないか。{nl}
QUEST_20150414_001889	そうか。やっと分かった…。{nl}我の霊魂の力で転移の隙間を塞ぐつもりだったのだな？{nl}
QUEST_20150414_001890	その力を私に渡してください。{nl}女神が扱うべき力です。
QUEST_20150414_001891	受付係ブランドン
QUEST_20150428_001892	お知らせできる情報が集まっておりません。
QUEST_20150428_001893	モンスターの群れの中を進むよりは、ケーブルカーを利用した方がいいと思います。
QUEST_20150428_001894	ケーブルカーを利用すると、反対側へ一気に行くことができます。
QUEST_20150428_001895	気を付けて！これはアンタレスの仕業に違いないわ。{nl}近づけば爆発するはず。{nl}モンスターをおびき寄せて一つずつ除去した方がいいわね。
QUEST_20150428_001896	私が紅炎の宝石を安定させるまで、邪魔されないように守ってください。
QUEST_20150428_001897	ああ…紅炎の宝石を作るのを手伝ったんだから、出来た物を見るべきよね？{nl}私はすごく気に入ったんだけど、君はどうかな？フフフ…
QUEST_20150428_001898	破れそうなメモ
QUEST_20150428_001899	破れた日記
QUEST_20150428_001900	最後の記録
QUEST_20150428_001901	捨てられた日記帳
QUEST_20150428_001902	女神は初代パラディンに色んなことを伝えられた。{nl}魔将ジェスティの脅威や、守るべき使命…。{nl}その中には救済者が現れるだろうというものもあったのだ。{nl}
QUEST_20150428_001903	啓示が示す王陵はあまりにも遠い場所。{nl}私が空間を繋ぎましょう。
QUEST_20150428_001904	近くから何かぼんやりした気配を感じる。
QUEST_20150428_001905	これまで見えなかったものが見えてくる。
QUEST_20150428_001906	今は何の反応も無い。
QUEST_20150428_001907	すでに祭壇が作動中だ。
QUEST_20150428_001908	すでに灯がともされている。
QUEST_20150428_001909	灯を付けられそうな物が必要だ。
QUEST_20150428_001910	何かにかすかに反応しているようだ。
QUEST_20150428_001911	祭壇を作動させるには、何かが足りなそうだ。
QUEST_20150428_001912	祭壇から強力な気を感じる。
QUEST_20150428_001913	謎の力を感じる。
QUEST_20150428_001914	暗い影が消えると、モンスターが力を失っていく。
QUEST_20150428_001915	今はこれ以上吸収できないようだ。
QUEST_20150428_001916	吸い込まれそうな感じのする光だ。
QUEST_20150428_001917	今は何も発見できない。
QUEST_20150428_001918	避難者の夫
QUEST_20150428_001919	避難者の妻
QUEST_20150428_001920	本当によかったわ。{nl}これでまた村に戻れますよね？
QUEST_20150428_001921	遺書
QUEST_20150428_001922	チッ、ケチですね。だったら、こっちも同じくしようっと。
QUEST_20150428_001923	焼け焦げた手掛かり
QUEST_20150428_001924	ここは狂っている。{nl}この呪われたルーツクリスタルを除去するには火を放つしかない。{nl}火をつけなければならない。
QUEST_20150428_001925	怒りで書きなぐった日誌
QUEST_20150428_001926	私の家族を奪ったモンスターたちを到底許すことはできない。{nl}たとえ肉体が大地に還ろうとも、私の霊魂だけは消えることのない怒りで燃え上がるだろう。{nl}ああ、女神よ。冷たいモンスターの体液だけが私の怒りを冷ますことができるのです。
QUEST_20150428_001927	グチャグチャになったメモ
QUEST_20150428_001928	メイバーンの教えは呪いによって汚れてしまった。{nl}罪多きナクティスよ、お前も呪いを受けよ！
QUEST_20150428_001929	救済者よ。{nl}そなたに啓示に残された偉大な意志を見せよう。
QUEST_20150428_001930	アルネの日誌
QUEST_20150428_001931	状況は変わった。{nl}魔族たちは世界樹のために、より多くの生命の力を必要とした。{nl}
QUEST_20150428_001932	彼らはより多くの命を奪い、踏みにじって世界樹に吸収させるだろう。{nl}これ以上彼らを許してはいけない。{nl}世界樹に還元させなければならない。
QUEST_20150428_001933	シギタの日誌
QUEST_20150428_001934	魔族収監所のジメジメした地面に魔族たちの汚れた体が倒れていく。{nl}彼らは私たちの反対側に立つ者であり、全てを一つの状態に戻そうとする者である。{nl}
QUEST_20150428_001935	彼らが放つ邪悪なオーラは神聖な力によって、全ての形を失い、消えていくだろう。
QUEST_20150428_001936	アウシュリネの命令書
QUEST_20150428_001937	世界と世界の間隙に挟まれた孤立空間。{nl}そこに我らの反対側に立った者を閉じ込め、永遠に隔離するのだ。
QUEST_20150428_001938	名もなき冒険家の日誌
QUEST_20150428_001939	裏切りと殺戮に呪われた一族の邸宅が私たちを迎えた。{nl}扉を開けて一歩踏み出したら、床で絡み合った蔦が足首に絡む。{nl}
QUEST_20150428_001940	私たちはモンスターを倒しながら封印を解き始めた。{nl}邸宅のどこかに隠されているルグィン家の宝…{nl}私たちが必ず見つけ出してみせる。
QUEST_20150428_001941	ベイキアルからの返事
QUEST_20150428_001942	君の手紙はちゃんと届いた。{nl}あのルグィン家の馬鹿が君を信頼しているようでよかったな。{nl}
QUEST_20150428_001943	この権利書の名義を君に変更しておいたから、残りの文書も送ってくれ。{nl}彼の遺書や土地の権利書も私が保証しよう。{nl}
QUEST_20150428_001944	手付金は前回と同じ方法で支払う。{nl}全部君に任せるから、留学に行ったルグィンの娘も頼むぞ。
QUEST_20150428_001945	注文明細書
QUEST_20150428_001946	ご要望通り、春に収穫した薬草の根をお送りします。{nl}腹痛や目まいの軽減や鎮痛の効果があります。{nl}
QUEST_20150428_001947	追伸。絶対に一度にたくさんの量を摂取しないでください。死に至る可能性があります。{nl}必ず爪より小さく切り落とし、酒に混ぜて召し上がってください。
QUEST_20150428_001948	番人の墓碑
QUEST_20150428_001949	風が吹くままに、葉が散るままに{nl}倒れる時には倒れるままに{nl}私の歌を歌えば、夜が訪れ日が暮れる。{nl}
QUEST_20150428_001950	初代パラディンと共に悪に立ち向かい、ここに眠る。
QUEST_20150428_001951	番人の息子として生まれ、ターネット聖堂を完成させ、ここに眠る。
QUEST_20150428_001952	母さん、どうか悲しまないでください。{nl}私はついに呪いから解放されました。
QUEST_20150428_001953	これであなたは母の懐に抱かれているように眠っている。{nl}痛みや悲しみを恐れることもない。{nl}女神の救済を願うこともない。{nl}
QUEST_20150428_001954	女神の懐へ、母の元へ。{nl}眠っている、静まっている。{nl}その傍にいない私は枯れてしまい、枯木のように静かに佇む。
QUEST_20150428_001955	番人の息子たちよ、安らかに眠れ。
QUEST_20150428_001956	ジャカリエル王の歴史書
QUEST_20150428_001957	王曰く、{nl}硬い石材に文字と文様を刻んだ人たちは何の罪もないが、朕の命令により自らの行為を忘れさせるため強制的に記憶を消した。{nl}魔族や邪悪なる意志を持つ者が朕の遺産を欲することを危惧した末に行ったことではあるが、{nl}朕は可能な限り民がそのような行為を二度と繰り返さないことを望む。{nl}
QUEST_20150428_001958	(本が痛みすぎて、内容を読むことができない){nl}
QUEST_20150428_001959	すると大臣曰く、{nl}我々はすでに陛下からお話を伺いました。{nl}詳しい内容については存じ上げませんが、陛下がこの王陵を建てた理由は自己顕示欲ではありません。将来この王国を脅かす災いと、ひいてはすべての人間の未来を左右しかねない予言に備えるためです。このような重大なことを我々以外の誰に果たせるというのでしょうか。
QUEST_20150428_001960	無断立ち入り禁止の警告文
QUEST_20150428_001961	ジャカリエル王の聖なる秘密を守るため、この施設の立ち入りを禁じる。{nl}
QUEST_20150428_001962	誰であれ許可なしで立ち入った場合は王命でその罪を問い、厳罰に処す。
QUEST_20150428_001963	退去命令書
QUEST_20150428_001964	この施設は間もなく閉鎖される予定です。{nl}全ての建築労働者及び王陵関係者たちは退去してください。
QUEST_20150428_001965	男爵の私兵、チャゴスの日誌
QUEST_20150428_001966	急に現れたウィザードは愚かな男爵に、この場所にアレがあるとそそのかした。{nl}
QUEST_20150428_001967	永遠に歳をとらず、死ぬこともない秘法。{nl}日々死が迫ってくるこの地の何処にそのような物が存在するのだろうか。
QUEST_20150428_001968	粉々になりつつある公文書
QUEST_20150428_001969	魔将ヘルガ・セルクルが魔将ホーバークの霊魂を引き裂いてしてしまった。{nl}彼の霊魂は魔術師の塔を取り囲んだ結界の礎石になり、王国のあちこちに散らばった。{nl}
QUEST_20150428_001970	多くのウィザードたちがその結界を解除しようとしたが、塔に集まった礎石では十分な結果を得ることができない。{nl}
QUEST_20150428_001971	王国にいる全ての冒険家たちよ。{nl}魔術師の塔はホーバークの霊魂を集めてくる者には十分な金を謝礼として払おう。
QUEST_20150428_001972	魔族退治命令書
QUEST_20150428_001973	ヴァカリネの名において命ずる。{nl}神樹の日以降、彼らは到底許されない段階に至った。{nl}さらに、彼らは私の結界にできた転移の隙間を通じて、この収監所で勢力拡張を図っている。{nl}
QUEST_20150428_001974	ここにいる全てのクポルたちは魔将ブルッド、ヌアエーレ、バルトラスを先に退治せよ。{nl}そうすれば、首長をなくした敵勢力は自然に崩壊していき、逃げ行く残党を倒しやすくなるだろう。{nl}
QUEST_20150428_001975	戦闘不可状態のクポルたちは転移の隙間を塞ぐことに集中せよ。{nl}より多くの魔族たちが収監所内の魔将のところに合流する前に、阻止しなければならない。
QUEST_20150428_001976	これからどうやって生きていけばいいですか？{nl}やっぱりクラペダに引っ越しした方がよかったのかなぁ…。
QUEST_20150428_001977	インベントリに入れておいたので、いつでも取り出して読んでみよう。
QUEST_20150428_001978	しかしミルティスの力は強大で、カニンガムは苦渋の決断を下すほかなかった。{nl}
QUEST_20150428_001979	アレルノー男爵領でなぜか、モンスターが急増しているそうです。{nl}犠牲者が出る前にあのモンスターたちを退治してください。
QUEST_20150428_001980	バイボラの翼から入手した情報によると、魔族収監所というところから魔族たちがあふれ出してくるかもしれないようです。{nl}さらなる災いが起こらないように支援をお願いします。
QUEST_20150428_001981	グリーン家の農場に派遣されたドルイドたちを助けてください。{nl}大規模浄化に力を貸してくれる方を探しているようです。
QUEST_20150428_001982	邪悪なオーラの影響を受けたモンスターたちの攻撃によって、ダイナ養蜂地が危険です。{nl}生活が成り立たないほどで、助けが切実な状況だそうです。
QUEST_20150511_001983	モンスターの群れの中を進むよりは、ケーブルカーを利用した方がいいと思います。
QUEST_20150511_001984	あいつの話はあまり信じない方がいいですよ。{nl}村では有名なホラ吹きでしたから。{nl}
QUEST_20150511_001985	啓示者たちの出現が女神が戻ってくる前兆だったらいいんですが…。
