UI_20150317_000001	{@st41b}各クラスのマスターのところで{nl}特性を習得できます。{/}
UI_20150317_001060	{@st41}難易度{/}
UI_20150317_001061	{@st41}ヘ ア
UI_20150317_001062	{@st41}回 転
UI_20150317_001063	{@st43}キャラクター作成
UI_20150317_001064	{@st59}設定どおりにキャラクターを作成します{/}
UI_20150317_001065	{@st41b}選択取消
UI_20150317_001066	{@st59}キャラクター選択を取消します{/}
UI_20150317_001067	キャラクター情報
UI_20150317_001068	{@st41}一緒に行く
UI_20150317_001069	{@st59}クリック後、キャラクターを選択するとコンパニオンと一緒に行動できます{/}
UI_20150317_001070	アイテム作成UI
UI_20150317_001071	{s24}名前 : 
UI_20150317_001072	{s16} 力 : 
UI_20150317_001073	{s16} 体力 : 
UI_20150317_001074	{s16} 敏捷 : 
UI_20150317_001075	{s16} 気力 : 
UI_20150317_001076	{s16} 道力 : 
UI_20150317_001077	{s18} 職業選択
UI_20150317_001078	{s18} 正道連盟
UI_20150317_001079	{s18} 天明魔教
UI_20150317_001080	洪武門
UI_20150317_001081	大道天
UI_20150317_001082	華仙道
UI_20150317_001083	龍華極仙鐘
UI_20150317_001084	天子聖
UI_20150317_001085	蓮華橋
UI_20150317_001086	{s16}性別と外見
UI_20150317_001087	男
UI_20150317_001088	女
UI_20150317_001089	髪型
UI_20150317_001090	身長
UI_20150317_001091	肩幅
UI_20150317_001092	手足の大きさ
UI_20150317_001093	バストサイズ
UI_20150317_001094	ウエストサイズ
UI_20150317_001095	ヒップサイズ
UI_20150317_001096	{s18} 頭の大きさ
UI_20150317_001097	{s14} 身長
UI_20150317_001098	{s14} 肩幅
UI_20150317_001099	{s14} 手足の大きさ
UI_20150317_001100	{s14} バストサイズ
UI_20150317_001101	{s14} ウエストサイズ
UI_20150317_001102	{s14} ヒップサイズ
UI_20150317_001103	デフォルト値
UI_20150317_001104	任意設定値
UI_20150317_001105	新規人物作成
UI_20150317_001106	人物作成取消
UI_20150317_001107	{@st43}{s40}{gr gradation4}ゲーム開始{/}
UI_20150317_001108	{@st43}{s40}{gr gradation4}プレビュー終了{/}
UI_20150317_001109	{@st43}{s40}{gr gradation4}ゾーンに戻る{/}
UI_20150317_001110	{@st59}もう一度ゾーンに入ります。{/}
UI_20150317_001111	{@st41b}戻る{/}
UI_20150317_001112	{@st59}自分のバラックに戻ります。{/}
UI_20150317_001113	{@st43}{s24}バラック名{/}
UI_20150317_001114	{@st59}バラック名{/}
UI_20150317_001115	{@st41b}編集{/}
UI_20150317_001116	{@st59}バラック編集{/}
UI_20150317_001117	{@st41b}設  定{/}
UI_20150317_001118	{@st59}バラック設定{/}
UI_20150317_001119	カスタマイズアイテムフレーム
UI_20150317_001120	緑
UI_20150317_001121	密度
UI_20150317_001122	体力とか
UI_20150317_001123	{@st59}ヘアアクセサリ{/}
UI_20150317_001124	{@st59}補助アクセサリ{/}
UI_20150317_001125	{@st42}テキスト{/}
UI_20150317_001126	基本コンテンツ名
UI_20150317_001127	基本グループ名
UI_20150317_001128	基本アイテム名
UI_20150317_001129	キムピョンジク
UI_20150317_001130	重さ : %s
UI_20150317_001131	星星星
UI_20150317_001132	%s 種族
UI_20150317_001133	フォレスタ(植物型)
UI_20150317_001134	取引不可
UI_20150317_001135	強化不可
UI_20150317_001136	星星星星
UI_20150317_001137	アイテム名
UI_20150317_001138	このアイテムを着用したらなんちゃら
UI_20150317_001139	レベル何以上
UI_20150317_001140	誰が装着可能
UI_20150317_001141	最大ソケット %s個
UI_20150317_001142	アイテム名
UI_20150317_001143	商店売却価格 : %s シルバー
UI_20150317_001144	いくら
UI_20150317_001145	{@st42b}シャウレイ全体探査率{/}
UI_20150317_001146	{@st42b}西の森探査率{/}
UI_20150317_001147	{@st18}アイテム{/}
UI_20150317_001148	{@st18}自分の順位{/}
UI_20150317_001149	ダイヤ
UI_20150317_001150	体力プラス九千
UI_20150317_001151	{@st18}平均{/}
UI_20150317_001152	{@st42b}{s18}熟練度{/}
UI_20150317_001153	{@st55_c}アイテム名
UI_20150317_001154	{@st55_c}メモ記録
UI_20150317_001155	{@st59}名前を入力します。入力しない場合は基本の名前で作成します{/}
UI_20150317_001156	{@st59}メモを入力します{/}
UI_20150317_001157	{@st43}アイテム 製造
UI_20150317_001158	{@st42b}%s点{/}
UI_20150317_001159	{@st42b}%s個{/}
UI_20150317_001160	{@st42b}%s点{/}
UI_20150317_001161	{@st42b}%s個{/}
UI_20150317_001162	{s16}{ol}1個の価格
UI_20150317_001163	合計金額 :   1
UI_20150317_001164	{@st41}ヘルプ
UI_20150317_001165	{@st41}写真についての説明
UI_20150317_001166	{@st41}登録
UI_20150317_001167	{@st41}名  前
UI_20150317_001168	{@st41}メッセージ
UI_20150317_001169	{@st43}名  前{/}
UI_20150317_001170	{@st41b}メッセージ{/}
UI_20150317_001171	{@st42b}ログイン{/}
UI_20150317_001172	{@st41}新しいチャットを作る
UI_20150317_001173	{@st41}全体チャット
UI_20150317_001174	地域名
UI_20150317_001175	{@st41}スキル名
UI_20150317_001176	{@st41}特性ポイント
UI_20150317_001177	{@st41}クラス名
UI_20150317_001178	キャラクター名
UI_20150317_001179	{@sti7}削除{/}
UI_20150317_001180	キャラクターレベル
UI_20150317_001181	{@st42}クエスト共有{/}
UI_20150317_001182	{@st42}経験値共有{/}
UI_20150317_001183	キャラクターメモ
UI_20150317_001184	PT平均レベル : {#FFFF00}%s{/}
UI_20150317_001185	探しているPTメンバー : {#FFFF00}%s{/}
UI_20150317_001186	クレリック / アーチャー
UI_20150317_001187	クエスト共有 : {#FFFF00}%s{/}
UI_20150317_001188	サアヨン
UI_20150317_001189	経験値分配規則 : {#FFFF00}%s{/}
UI_20150317_001190	均等分配
UI_20150317_001191	アイテム分配規則 : {#FFFF00}%s{/}
UI_20150317_001192	ランダムに分配
UI_20150317_001193	もしかしたら私が
UI_20150317_001194	誰だかわからないのか
UI_20150317_001195	{@st41b}冒険日誌に登録されました。
UI_20150317_001196	クエスト用メニューオブジェクト
UI_20150317_001197	クエストのカテゴリ
UI_20150317_001198	クエストのリストオブジェクト
UI_20150317_001199	クエストのリストオブジェクト-ここまでは昔のです
UI_20150317_001200	ロードマップで使うライン
UI_20150317_001201	スロットオブジェクト_一般用
UI_20150317_001202	スロットオブジェクト_キャッシュスロット
UI_20150317_001203	キャラクター詳細情報タイプ1
UI_20150317_001204	キャラクター詳細情報タイプ2
UI_20150317_001205	インベントリ リストタイプ1
UI_20150317_001206	インベントリ リストタイプ2
UI_20150317_001207	インベントリ スロットタイプ
UI_20150317_001208	マーケットでアイテムを見る_ディテール
UI_20150317_001209	アイテム名表示
UI_20150317_001210	残りの数表示
UI_20150317_001211	値を表示
UI_20150317_001212	カートに入れた場合
UI_20150317_001213	総合を表示
UI_20150317_001214	アイテム表示用
UI_20150317_001215	単価表示
UI_20150317_001216	アイテムカテゴリ
UI_20150317_001217	お知らせ
UI_20150317_001218	{@st42b}再開{/}
UI_20150317_001219	ペルタスト
UI_20150317_001220	99サークル
UI_20150317_001221	ゴブリン8匹退治
UI_20150317_001222	ToolTip
UI_20150317_001223	EXP : sad{br}+1 エンチャントクリスタル (攻撃)
UI_20150317_001224	アフレンティスソード
UI_20150317_001225	修理耐久度 :
UI_20150317_001226	修理費用 : 120シルバー
UI_20150317_001227	修理費用 : %sシルバー
UI_20150317_001228	{@st42b}入札数 {@sti7}%s{/}
UI_20150317_001229	{@st42b}現在の価格 {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001230	{@st41}即時購入！ {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001231	{@st41b}アイテム受取{/}
UI_20150317_001232	{@st42b}入札金 {img icon_item_silver 20 20}{@st57} %s{/}
UI_20150317_001233	{@sti7}返還
UI_20150317_001234	{@st59}頭{/}
UI_20150317_001235	{@st59}左ブレスレット{/}
UI_20150317_001236	{@st59}右ブレスレット{/}
UI_20150317_001237	{@st59}衣装{/}
UI_20150317_001238	{@st59}リング2{/}
UI_20150317_001239	ペット名
UI_20150317_001240	雑貨商セット
UI_20150317_001241	西の森など
UI_20150317_001242	メダル消耗
UI_20150317_001243	カテゴリ名
UI_20150317_001244	ヘルプですよ
UI_20150317_001245	{@sti7}%s点{/}
UI_20150317_001246	{@st41b}%s点数
UI_20150317_001247	クエストクリア25個
UI_20150317_001248	- [サブ]棘の森
UI_20150317_001249	{@st42}装着アイテム
UI_20150317_001250	{@st44}%sランククラス情報{/}
UI_20150317_001251	何次転職情報
UI_20150317_001252	ハートとか
UI_20150317_001253	ソードマン
UI_20150317_001254	%s レベル
UI_20150317_001255	メモ : {#666666}%s
UI_20150317_001256	アヤセ
UI_20150317_001257	%sさんとの関係バッジ
UI_20150317_001258	{#FFFF33}%s{/}さんがフレンド申請しました{/}
UI_20150317_001259	{@st41b}受諾
UI_20150317_001260	{@st41b}拒絶
UI_20150317_001261	{@st53b}フレンドリストを読み込んでいます
UI_20150317_001262	レベル %s{/}
UI_20150317_001263	{@st41}取消
UI_20150317_001264	販売するバフを登録してください。
UI_20150317_001265	価格 : %s{/}
UI_20150317_001266	残りの数
UI_20150317_001267	{@st41}購入
UI_20150317_001268	残りの数 : %s{/}
UI_20150317_001269	{@st41}アイテム{/}
UI_20150317_001270	{@st41b}メモ
UI_20150317_001271	{@st41b}製造
UI_20150317_001272	{@st41b}価格 : %s{/}
UI_20150317_001273	{@sti5}価格 : %s{/}
UI_20150317_001274	{@sti9}PTメンバークエスト (%s){/}
UI_20150317_001275	{@st41_yellow}探索率 %s%{/}
UI_20150317_001276	{@st41_yellow}獲得点数 %s{/}
UI_20150317_001277	{@st42b}{b}達成率{/}
UI_20150317_001278	{@st59}PTクエストの進行を受諾します{/}
UI_20150317_001279	ウィンドウ
UI_20150317_001280	ステータス
UI_20150317_001281	タブ
UI_20150317_001282	イメージアイテム
UI_20150317_001283	エフェクト
UI_20150317_001284	コントロールセット
UI_20150317_001285	{@st41}難易度 : %s
UI_20150317_001286	{@st42}残りの時間 : %s
UI_20150317_001287	{@st53}製造中のアイテム
UI_20150323_001288	{@st59}アイテムを載せてください{/}
UI_20150323_001289	{@st42}取 消
UI_20150323_001290	{@st42}確 認
UI_20150323_001291	{@st43}ブリケティング{/}
UI_20150323_001292	現在のポテンシャル
UI_20150323_001293	消費材料
UI_20150323_001294	消費個数
UI_20150323_001295	保有個数
UI_20150323_001296	{@sti6}取引記録
UI_20150323_001297	{@st43}拠点
UI_20150323_001298	看板タイトル
UI_20150323_001299	{@st43}建設
UI_20150323_001300	{@stc1}拠点維持時間
UI_20150323_001301	{@stc1}効果
UI_20150323_001302	{@stc1}消費材料と費用
UI_20150323_001303	{@st41b}拠点
UI_20150323_001304	{@st41b}ログ
UI_20150323_001305	{@st41b}時間更新
UI_20150323_001306	{@st59}維持時間を更新します{/}
UI_20150323_001307	{@st41b}拠点維持時間
UI_20150323_001308	{@st41b}効果
UI_20150323_001309	{@st42b}更新すると追加拠点が24時間維持され、%sシルバーを消耗します。
UI_20150323_001310	{@st41b}個人倉庫
UI_20150323_001311	{@stc1}倉庫にアイテムを保管し、取り出す時に%sシルバー消費します。{/}
UI_20150323_001312	{@st41}{#ffff00}ターゲット固定{/}
UI_20150323_001313	{@st43}配食テーブル
UI_20150323_001314	{@st41b}食糧の種類
UI_20150323_001315	{@st41b}テーブル
UI_20150323_001316	{@st59}配食テーブルを閉じます{/}
UI_20150323_001317	{@st43}グリモワール{/}
UI_20150323_001318	{@st59}グリモワールUIを閉じます{/}
UI_20150323_001319	自分の召喚スキル
UI_20150323_001320	メインカード
UI_20150323_001321	補助カード
UI_20150323_001322	ステータス
UI_20150323_001323	CON
UI_20150323_001324	INT
UI_20150323_001325	DEX
UI_20150323_001326	Critical
UI_20150323_001327	{@st43}商店開設{/}
UI_20150323_001328	{@st41b}設定
UI_20150323_001329	1個の価格
UI_20150323_001330	{@st41b}材料リスト
UI_20150323_001331	{@st43}ジェムロスティング{/}
UI_20150323_001332	{@st59}UIを閉じます{/}
UI_20150323_001333	{@st41b}メンテナンス{/}
UI_20150323_001334	{@st41b}ログ{/}
UI_20150323_001335	価格
UI_20150323_001336	{@st59}ジェムを載せてください{/}
UI_20150323_001337	消費材料
UI_20150323_001338	残りの数
UI_20150323_001339	{@st42}閉店
UI_20150323_001340	{@st43}武器メンテ{/}
UI_20150323_001341	{@st43}装備メンテ{/}
UI_20150323_001342	{@st41b}価格
UI_20150323_001343	{@st41b}消費材料
UI_20150323_001344	{@st43}修 理{/}
UI_20150323_001345	{@st41b}修理{/}
UI_20150323_001346	スキルレベル
UI_20150323_001347	{@st41}入場可能人数
UI_20150323_001348	{@st41}アイテム覚醒ダンジョン
UI_20150323_001349	{@st41}必要な材料
UI_20150323_001350	{@st59}必要な材料{/}
UI_20150323_001351	推奨レベル : %s
UI_20150323_001352	{@st43}UI選択モード{/}
UI_20150323_001353	{@st43}購入依頼商店
UI_20150323_001354	商店名
UI_20150323_001355	{@st41b}商店を開く
UI_20150323_001356	{@st59}購入依頼商店を始めます{/}
UI_20150323_001357	{@st59}取り消します{/}
UI_20150323_001358	{@st59}購入依頼商店を閉じます{/}
UI_20150323_001359	購入依頼
UI_20150323_001360	{@st59}購入依頼商店を閉じます。
UI_20150323_001361	{@st59}購入依頼商店{nl} - 自分が持っているアイテムをシルバーと交換できます。
UI_20150323_001362	{@st43}依頼者が望むアイテム{/}
UI_20150323_001363	{@st43}販売したいアイテム
UI_20150323_001364	{@st43}合計数
UI_20150323_001365	{@st41}販売
UI_20150323_001366	{@st41}錬金材料
UI_20150323_001367	{@st41}錬金対象 '{@stx1}(%s必要){/}
UI_20150323_001368	{@st59}ペットを召喚します。{/}
UI_20150323_001369	{@st41b}設定{/}
UI_20150323_001370	{@st59}グリモワール{/}
UI_20150323_001371	{@st41b}ブルーム適用{/}
UI_20150323_001372	{@st41b}ビネッティング適用{/}
UI_20150323_001373	{@st41b}FXAA適用{/}
UI_20150323_001374	{@st41b}GLOW適用{/}
UI_20150323_001375	{@st41b}Depth適用{/}
UI_20150323_001376	{@st41b}SoftParticle適用{/}
UI_20150323_001377	{@st43}個人倉庫{/}
UI_20150323_001378	{@st59}個人倉庫を閉じます。{/}
UI_20150323_001379	{@sti6}倉庫にアイテムを保管して取り出す際に%sシルバーかかります。{/}
UI_20150323_001380	{@st59}Alt+Zで武器変更{/}
UI_20150323_001381	{@st59}バラックの設定を保存します。{/}
UI_20150323_001382	バラック変更
UI_20150323_001383	{@st59}バラック変更ウィンドウを閉じます。
UI_20150323_001384	{@st59}バラック変更{nl} - バラックの背景を変更して、人数枠を拡張します。
UI_20150323_001385	{@st41}プレビュー取消
UI_20150323_001386	{@st46}自分のメダル : %s{/}
UI_20150323_001387	{@st41b}バラック変更{/}
UI_20150323_001388	{@st59}バラック模様替え{/}
UI_20150323_001389	{@st41b}バラック設定{/}
UI_20150323_001390	{@st59}バラックの設定を変更します{/}
UI_20150323_001391	{@st45ty}キャラクター挨拶{/}
UI_20150323_001392	{@st45ty}購入依頼商店
UI_20150323_001393	{@st41b}変更
UI_20150323_001394	{@st59}キャラクター挨拶を変更します{/}
UI_20150323_001395	{@st59}購入依頼商店を設定します{/}
UI_20150323_001396	購入数 : %s{/}
UI_20150323_001397	購入するアイテム検索
UI_20150323_001398	購入数
UI_20150323_001399	1個の価格
UI_20150323_001400	{@sti5}%s個{/}
UI_20150323_001401	{@st41}食べる
UI_20150323_001402	{@st41}製造
UI_20150323_001403	{@st41}製造数
UI_20150323_001404	{@st41}消費材料
UI_20150401_001405	{@st59}ブリケティングを閉じます{/}
UI_20150401_001406	{@st41}拠点解体
UI_20150401_001407	{@st40}[%sサークル]{/}
UI_20150401_001408	{@st43}スキル{/}
UI_20150401_001409	{@st43}クラスTip{/}
UI_20150401_001410	クラスTip
UI_20150401_001411	{@st42}{#ffff00}ターゲット固定{/}
UI_20150401_001412	{@st41}テーブル解体
UI_20150401_001413	{@st43}ティンクチャーリング{/}
UI_20150401_001414	ジョイスティッククイックスロット
UI_20150401_001415	{@st42}{#ffff00}キーボードモード{/}
UI_20150401_001416	{@st43}奉献箱を開く
UI_20150401_001417	{@st41b}開く
UI_20150401_001418	{@st41b}奉献箱
UI_20150401_001419	{@st41}奉献箱名
UI_20150401_001420	支給金額
UI_20150401_001421	予想収益
UI_20150401_001422	所持金
UI_20150401_001423	{@st45tw}奉献箱アイテム詳細内容
UI_20150401_001424	{@st41}一括販売
UI_20150401_001425	{@st43}奉献箱
UI_20150401_001426	奉献する
UI_20150401_001427	取引清算
UI_20150401_001428	予想残額
UI_20150401_001429	{@st45tw}奉献箱
UI_20150401_001430	{@st41}空にする
UI_20150401_001431	{@st43}現在のゾーンのプレイヤーリスト{/}
UI_20150401_001432	{@st59}運営者UIリストを閉じます{/}
UI_20150401_001433	{@st41}PT説明 :
UI_20150401_001434	{s20}毒の量  {s28}{b}{#ff6600}%s
UI_20150401_001435	毒製造用材料アイテム
UI_20150401_001436	{@st41b}全体選択{/}
UI_20150401_001437	{@st59}もう一度クリックすると全体解除{/}
UI_20150401_001438	{@st41b}製造{/}
UI_20150401_001439	{@st59}混ぜて混ぜてぐるぐる混ぜて{/}
UI_20150401_001440	{@st41b}業績{/}
UI_20150401_001441	ヘアカラー
UI_20150401_001442	装着可能な称号
UI_20150401_001443	{@st41b}ジョイスティックUIモード{/}
UI_20150401_001444	{@st41}{#ffffcc}名前
UI_20150401_001445	{@st41}{#ffffcc}価格
UI_20150401_001446	{@st41}{#ffffcc}状態
UI_20150401_001447	{@st41b}プレビュー取消
UI_20150401_001448	{@st41}{#ffff00}自分のメダル : %s{/}
UI_20150401_001449	着用中
UI_20150401_001450	説明 : {#FFFF00}%s{/}
UI_20150401_001451	平均レベル : {#FFFF00}%s{/}
UI_20150401_001452	条件
UI_20150401_001453	称号   %s
UI_20150401_001454	報酬   %s
UI_20150401_001455	{@st42}個数
UI_20150406_001456	{@st43}ベースキャンプ
UI_20150406_001457	{@st42}建設
UI_20150406_001458	{@st42}取消
UI_20150406_001459	{@stc1}キャンプ維持時間
UI_20150406_001460	{@st41b}ベースキャンプ
UI_20150406_001461	{@st41b}キャンプ維持時間
UI_20150406_001462	{@st42b}更新するとキャンプの維持時間が24時間増加し、{nl} %sシルバーを消費します。
UI_20150406_001463	{@st41}キャンプ解体
UI_20150406_001464	{@st42}テーブル解体
UI_20150406_001465	{@st59b}グリモワール{nl}{@st59s} - カードをデッキに載せて召喚術を実行します。{/}
UI_20150406_001466	{@st41}自分の召喚スキル
UI_20150406_001467	{@st41}ステータス
UI_20150406_001468	{@st41b}奉献箱の名前
UI_20150406_001469	{@st41b}奉献箱のアイテム詳細
UI_20150406_001470	{@st59}購入依頼商店を閉じます。
UI_20150406_001471	{@st59b}購入依頼商店{nl}{@st59s} - 自分が持っているものをシルバーに交換できます。
UI_20150406_001472	{@st41b}依頼者要請アイテム{/}
UI_20150406_001473	{@st41b}販売登録アイテム{/}
UI_20150406_001474	{@st41b}収入総額
UI_20150406_001475	{@st41b}販売
UI_20150406_001476	{@st59}登録したアイテムを販売します。{/}
UI_20150406_001477	{@st59}個人倉庫を閉じます。{/}
UI_20150406_001478	{@st41b}倉庫にアイテムを保管して取り出す際には%sシルバーを消費します。{/}
UI_20150406_001479	{@st41b}個数
UI_20150414_001480	{@st42b}更新するとキャンプの維持時間が増加し、{nl} %sシルバーを消費します。
UI_20150414_001481	{@st41b}タイプ      {@sti7}%s{/}
UI_20150414_001482	{@st41b}操作難易度  {@sti7}%s{/}
UI_20150414_001483	{@st59b} アイテム  {/}
UI_20150414_001484	{@st59b}  モンスター  {/}
UI_20150414_001485	{@st59b}  マップ移動  {/}
UI_20150414_001486	{@st59b}  戦闘命令  {/}
UI_20150414_001487	{s26}{b}個
UI_20150414_001488	{s26}{b}レベル
UI_20150414_001489	{@st44}{s26}レベル
UI_20150414_001490	{@st59b}{s26}体
UI_20150414_001491	{@st41b}調理
UI_20150414_001492	{@st41b}食糧
UI_20150414_001493	{@st42}キッチン撤去
UI_20150414_001494	{@st41b}記録{/}
UI_20150414_001495	{@st41}PT説明
UI_20150414_001496	{@st41b}入力{/}
UI_20150414_001497	ロスティングレベル %s
UI_20150428_001498	{@st43}購入商店{/}
UI_20150428_001499	{@st41b}締め切る
UI_20150428_001500	{@st41b}不具合報告
UI_20150428_001501	{@st59}問題のある点について報告します。{/}
UI_20150428_001502	{s22}不具合報告{/}{nl}{s17}ここから不具合の報告をすると、これまでのゲームプレイ画面をサーバーに送信いたします。送信したリプレイファイルは不具合の修正に役立ちます。{/}
UI_20150428_001503	{@st41b}不具合の内容 :{/}
UI_20150428_001504	{@st41b}不具合の内容は必須入力事項ではありませんが、分析に役立ちます。
UI_20150428_001505	{@st41b}送信
UI_20150428_001506	{@st42}{s14}{#ffff00}ターゲット固定{/}
UI_20150428_001507	{@st59}距離や方向転換に関係なく、ターゲットを固定します。
UI_20150428_001508	PT条件一致！
UI_20150428_001509	ジョイスティック休息クイックスロット
UI_20150428_001510	{@st41b}休息モード
UI_20150428_001511	ジョイパッドチュートリアル
UI_20150428_001512	{@st59}ジョイパッドの説明を閉じます。(M){/}
UI_20150428_001513	キーボードチュートリアル
UI_20150428_001514	{@st44}ログアウト{/}
UI_20150428_001515	{@st41b}ヘルパーを残す(メダル %s個必要){/}
UI_20150428_001516	ソケット追加費用 : {#ff9933}%s{/}{nl}ジェム除去費用 : {#ff9933}%s{/}
UI_20150428_001517	{@st41b}ジェム除去
UI_20150428_001518	{@st42}{s14}{#ffff00}UIモード{/}
UI_20150428_001519	{@st59}キーボードやジョイパッドを使ってUiを操作します。
UI_20150428_001520	PTメンバー探しの機能使用
UI_20150428_001521	この機能を使うキャラクターのうち、条件に合ったキャラクターが{nl}見つかると、[PT条件一致！]と表示されます。
UI_20150428_001522	{@st41}プレイスタイル{/}
UI_20150428_001523	クエスト進行
UI_20150428_001524	狩り中心
UI_20150428_001525	イベント進行
UI_20150428_001526	{@st41}レベル差{/}
UI_20150428_001527	気にしない  /
UI_20150428_001528	{@st41}希望するクラス系統{/}
UI_20150428_001529	{@st41b}PT脱退
UI_20150428_001530	{@st59}PT説明で検索します。{/}
UI_20150428_001531	{s18}{ol}{gr gradation1}ヘルパールール{/}
UI_20150428_001532	{@st59}製造を実行します。{/}
UI_20150428_001533	{@st45ty}ヘアカラー
UI_20150428_001534	{@st45ty}装着可能な称号
UI_20150428_001535	{@st41_yellow}ヘルパースキル
UI_20150428_001536	{@st41b}他のキャラクター名表示{/}
UI_20150428_001537	{@st43}UIモード{/}
UI_20150428_001538	{@st41b}自動{/}
UI_20150428_001539	{@st41b}ジョイパッド{/}
UI_20150428_001540	{@st41b}キーボード{/}
UI_20150428_001541	ジョイパッド
UI_20150428_001542	{@st59}ジョイパッドについて{/}
UI_20150428_001543	キーボード
UI_20150428_001544	{@st59キーボードについて{/}
UI_20150428_001545	{@st43}グラフィック設定{/}
UI_20150428_001546	{@st43}性能調整{/}
UI_20150428_001547	{@st41b}低スペックモード{/}
UI_20150428_001548	{@st41b}自動調整{/}
UI_20150428_001549	{@st41b}使用しない{/}
UI_20150428_001550	ゲームfaq
UI_20150428_001551	人数 : (%s/%s)
UI_20150428_001552	100レベル以上 : (%s/%s)
UI_20150511_001553	{@st41}PT招待にリンクを貼る
UI_20150714_001554	{@st66b}落札アイテム : %s個 / 流札アイテム : %s個{/}
UI_20150714_001555	{@st41b}取引記録
UI_20150714_001556	{@st41b}キャンプ解体
UI_20150714_001557	カードバトル
UI_20150714_001558	{@st64}%s勝{/}
UI_20150714_001559	カード決定
UI_20150714_001560	冒険指数 {#ffff00}%s{/} ({#ffff00}%s{/}位)
UI_20150714_001561	{@st66b}いいね！
UI_20150714_001562	このキャラクター、いいね {#ffff00}%s{/}
UI_20150714_001563	{@st41b}キッチン撤去
UI_20150714_001564	{@st42}自分の召喚スキル
UI_20150714_001565	{@st42}ステータス
UI_20150714_001566	{@st42}現在の位置 : %s{/}
UI_20150714_001567	{@st59b}着用装備{nl}{@st59s} - ヘア/コスチューム : 外見変更可能アイテム着用{nl} - 武器 : 片手装備と両手装備を着用可能{nl}   (片手装備着用時、サブウェポン/盾を着用可能 ){nl} - 防具 : 上半身、下半身、手袋、靴着用{nl} - アクセサリ : ネックレス 1個、ブレスレット2個着用{nl}   (ブレスレット2はAltキーで比較/装着可能){/}
UI_20150714_001568	{@st43}%s 商店開設{/}
UI_20150714_001569	{@st41b}ロースティング{/}
UI_20150714_001570	{@st66}全体選択
UI_20150714_001571	{@st43}矢製造{/}
UI_20150714_001572	{@st59} UIを閉じます{/}
UI_20150714_001573	{@st66b}確認{/}
UI_20150714_001574	{@st66b}ヘルパーを残す(メダル %s個必要){/}
UI_20150714_001575	ソケット追加費用 : {#000000}%s{/} {nl}ジェム抽出費用 : {#000000}%s{/}
UI_20150714_001576	{ds}推奨レベル : %s
UI_20150714_001577	探査率 : 50.0%
UI_20150714_001578	{@st45tw}[探査率 %s%]{/}
UI_20150714_001579	>>もっと見る
UI_20150714_001580	%s (%s ランク)
UI_20150714_001581	職業名
UI_20150714_001582	{@st41b}招待
UI_20150714_001583	{@st41}ジョイパッドやマウス操作をしたい場合は、システムメニューのゲーム設定で選択できます。{/}
UI_20150714_001584	条件が一致するキャラクターに出会ったら[PT条件一致！]のメッセージが表示されます。{nl}また、PTメンバーを募集する他のPTに推薦されます。
UI_20150714_001585	{@st42}プレイスタイル{/}
UI_20150714_001586	{@st42}レベル差{/}
UI_20150714_001587	関係なし
UI_20150714_001588	{@st42}希望するクラス系統{/}
UI_20150714_001589	{@st42}PT名 : %s'{/}
UI_20150714_001590	{@st42}PT 説明{/}
UI_20150714_001591	{@st42}入力{/}
UI_20150714_001592	{@st42}アイテム分配ルール
UI_20150714_001593	{@st42}経験値分配ルール
UI_20150714_001594	それぞれ獲得
UI_20150714_001595	均等分配
UI_20150714_001596	レベル別
UI_20150714_001597	{@st42}クエスト共有
UI_20150714_001598	使用しない
UI_20150714_001599	{@st42}公開PTリストに登録{/}
UI_20150714_001600	希望レベル
UI_20150714_001601	{@st42}PTメンバー推薦機能使用{/}
UI_20150714_001602	距離による
UI_20150714_001603	職業による
UI_20150714_001604	レベルによる
UI_20150714_001605	進行クエストによる
UI_20150714_001606	親しさによる
UI_20150714_001607	{@st42}PT招待リンク設置
UI_20150714_001608	>>PTを見る
UI_20150714_001609	PT名 : %s
UI_20150714_001610	PT紹介 : %s
UI_20150714_001611	結成時間 : %s 前
UI_20150714_001612	メンバー構成 : %s/5
UI_20150714_001613	加入
UI_20150714_001614	{@st59}PT名と説明で検索します。{/}
UI_20150714_001615	シンプルヘルプ内容
UI_20150714_001616	{@st43}メッセージボックス
UI_20150714_001617	{@st41b}全体
UI_20150714_001618	{@st41b}未読のメッセージ
UI_20150714_001619	{@st43}{s22}アイテムを受け取るキャラクターを選択してください。{/}
UI_20150714_001620	{@st41b}強化
UI_20150714_001621	{@st66}修理の必要なアイテムリスト
UI_20150714_001622	{@st43}シモニー
UI_20150714_001623	{@st59}スキルを載せてください{/}
UI_20150714_001624	{@st59}スキルと特性を閉じます{/}
UI_20150714_001625	{@st43}スキルと特性{/}
UI_20150714_001626	残りのステータスポイント{nl}{@st46}%s
UI_20150714_001627	獲得したいいね！: %s個
UI_20150714_001628	{@st66b}経験値獲得量表記{/}
UI_20150714_001629	{@st66b}キャラクター名表示{/}
UI_20150714_001630	{@st66b}チーム名のみ表示{/}
UI_20150714_001631	{@st66b}他のキャラクター名表示{/}
UI_20150714_001632	{@st66b}自動{/}
UI_20150714_001633	{@st66b}ジョイパッド{/}
UI_20150714_001634	{@st66b}キーボード{/}
UI_20150714_001635	{@st66b}マウス
UI_20150714_001636	{@st66b}全画面{/}
